Date,Banco Bradesco,Itau Unibanco,Banco Santander,BOVA
2015-01-02,8.829200744628906,6.280447006225586,8.420000076293945,47.2599983215332
2015-01-05,8.71212100982666,6.205501079559326,7.929999828338623,46.31999969482422
2015-01-06,9.139118194580078,6.405355930328369,7.78000020980835,46.58000183105469
2015-01-07,9.380165100097656,6.585226058959961,7.900000095367432,48.150001525878906
2015-01-08,9.476584434509277,6.735116958618164,7.349999904632568,48.5099983215332
2015-01-09,9.290634155273438,6.570237159729004,6.880000114440918,47.529998779296875
2015-01-12,9.028925895690918,6.355391979217529,6.909999847412109,46.83000183105469
2015-01-13,9.132230758666992,6.430337905883789,6.980000019073486,46.63999938964844
2015-01-14,9.428375244140625,6.555246829986572,6.960000038146973,46.47999954223633
2015-01-15,9.07713508605957,6.340403079986572,6.960000038146973,47.0
2015-01-16,9.380165100097656,6.605210781097412,6.949999809265137,47.599998474121094
2015-01-20,9.15289306640625,6.380373954772949,7.059999942779541,46.52000045776367
2015-01-21,9.435261726379395,6.675160884857178,7.039999961853027,47.810001373291016
2015-01-22,9.621212005615234,6.760098934173584,7.050000190734863,48.119998931884766
2015-01-23,9.407712936401367,6.580228805541992,6.940000057220459,47.29999923706055
2015-01-26,9.545454978942871,6.620200157165527,7.03000020980835,47.189998626708984
2015-01-27,9.62809944152832,6.660171031951904,7.0,47.34000015258789
2015-01-28,9.318181991577148,6.425342082977295,6.619999885559082,46.33000183105469
2015-01-29,9.187328338623047,6.345399856567383,6.860000133514404,46.380001068115234
2015-01-30,8.595041275024414,6.055610179901123,6.690000057220459,45.61000061035156
2015-02-02,8.732782363891602,6.185515880584717,6.760000228881836,46.27000045776367
2015-02-03,9.04958724975586,6.3104248046875,7.139999866485596,47.63999938964844
2015-02-04,9.125344276428223,6.465312957763672,6.960000038146973,47.77000045776367
2015-02-05,9.00826358795166,6.440330982208252,7.019999980926514,47.880001068115234
2015-02-06,8.842974662780762,6.240476131439209,6.900000095367432,47.29999923706055
2015-02-09,9.015151977539062,6.355391979217529,6.800000190734863,47.91999816894531
2015-02-10,8.615701675415039,6.125558853149414,6.889999866485596,47.15999984741211
2015-02-11,8.292011260986328,5.845761775970459,6.78000020980835,46.95000076293945
2015-02-12,8.677685737609863,6.080592155456543,7.050000190734863,48.130001068115234
2015-02-13,8.884298324584961,6.3104248046875,7.179999828338623,49.38999938964844
2015-02-18,9.00826358795166,6.295435905456543,7.28000020980835,49.90999984741211
2015-02-19,8.884298324584961,6.225487232208252,7.289999961853027,49.79999923706055
2015-02-20,8.870523452758789,6.230483055114746,7.409999847412109,49.84000015258789
2015-02-23,8.939393997192383,6.265458106994629,7.289999961853027,49.79999923706055
2015-02-24,9.201102256774902,6.470308780670166,7.309999942779541,50.40999984741211
2015-02-25,9.097796440124512,6.365385055541992,7.300000190734863,50.36000061035156
2015-02-26,9.070247650146484,6.350396156311035,7.239999771118164,50.310001373291016
2015-02-27,9.07713508605957,6.385371208190918,7.28000020980835,50.0099983215332
2015-03-02,8.767217636108398,6.26046085357666,7.300000190734863,49.59000015258789
2015-03-03,8.760331153869629,6.26046085357666,7.230000019073486,49.83000183105469
2015-03-04,8.402203559875488,6.130555152893066,7.199999809265137,49.06999969482422
2015-03-05,8.278237342834473,5.935697078704834,7.190000057220459,48.95000076293945
2015-03-06,8.023415565490723,5.665892124176025,6.980000019073486,48.54999923706055
2015-03-09,7.603305816650391,5.421070098876953,7.059999942779541,47.75
2015-03-10,7.431128978729248,5.24619722366333,6.760000228881836,46.95000076293945
2015-03-11,7.57575798034668,5.371106147766113,6.769999980926514,47.52000045776367
2015-03-12,7.42424201965332,5.38609504699707,6.869999885559082,47.45000076293945
2015-03-13,7.141872882843018,5.1912360191345215,6.769999980926514,47.209999084472656
2015-03-16,7.252066135406494,5.1912360191345215,6.860000133514404,47.380001068115234
2015-03-17,7.506886959075928,5.341127872467041,6.860000133514404,48.91999816894531
2015-03-18,7.86501407623291,5.560967922210693,6.940000057220459,50.099998474121094
2015-03-19,7.534434795379639,5.371106147766113,6.869999885559082,49.54999923706055
2015-03-20,7.86501407623291,5.540983200073242,7.28000020980835,50.31999969482422
2015-03-23,7.99586820602417,5.630918025970459,7.420000076293945,50.43000030517578
2015-03-24,7.9752068519592285,5.635913848876953,7.510000228881836,50.040000915527344
2015-03-25,7.837465763092041,5.535985946655273,7.460000038146973,50.290000915527344
2015-03-26,7.610192775726318,5.366109848022461,7.460000038146973,49.11000061035156
2015-03-27,6.101928234100342,5.226211071014404,7.46999979019165,48.65999984741211
2015-03-30,6.219007968902588,5.38609504699707,7.5,49.81999969482422
2015-03-31,6.3911848068237305,5.525993824005127,7.449999809265137,49.5
2015-04-01,6.604682922363281,5.720851898193359,7.519999980926514,50.79999923706055
2015-04-02,6.797521114349365,5.880735874176025,7.639999866485596,51.5
2015-04-06,6.866391181945801,5.9706711769104,7.71999979019165,52.099998474121094
2015-04-07,6.838842868804932,5.915710926055908,7.630000114440918,52.20000076293945
2015-04-08,7.017906188964844,6.1055731773376465,7.590000152587891,52.220001220703125
2015-04-09,6.866391181945801,5.965674877166748,7.389999866485596,52.27000045776367
2015-04-10,6.962810039520264,6.010642051696777,7.320000171661377,52.650001525878906
2015-04-13,6.804408073425293,5.855754852294922,7.309999942779541,52.61000061035156
2015-04-14,6.983470916748047,5.9706711769104,7.300000190734863,52.529998779296875
2015-04-15,7.13498592376709,6.090583801269531,7.309999942779541,53.25
2015-04-16,7.183196067810059,6.130555152893066,7.239999771118164,53.029998779296875
