Date,Banco Bradesco,Itau Unibanco,Banco Santander,BOVA
2019-01-02,8.841667175292969,8.004945755004883,4.510000228881836,87.9000015258789
2019-01-03,8.949999809265137,8.1121187210083,4.550000190734863,88.0
2019-01-04,9.066666603088379,8.219290733337402,4.71999979019165,88.5
2019-01-07,9.041666984558105,8.145094871520996,4.78000020980835,88.4800033569336
2019-01-08,9.191666603088379,8.293486595153809,4.809999942779541,88.83000183105469
2019-01-09,9.433333396911621,8.466611862182617,4.820000171661377,90.31999969482422
2019-01-10,9.366666793823242,8.417147636413574,4.880000114440918,90.41999816894531
2019-01-11,9.300000190734863,8.334707260131836,4.900000095367432,90.37999725341797
2019-01-14,9.399999618530273,8.392415046691895,4.889999866485596,91.20999908447266
2019-01-15,9.358332633972168,8.276999473571777,4.869999885559082,90.61000061035156
2019-01-16,9.333333015441895,8.194559097290039,4.920000076293945,91.1500015258789
2019-01-17,9.383333206176758,8.186314582824707,4.869999885559082,91.97000122070312
2019-01-18,9.458333015441895,8.244023323059082,4.96999979019165,92.61000061035156
2019-01-22,9.116666793823242,8.054410934448242,4.880000114440918,91.4000015258789
2019-01-23,9.425000190734863,8.194559097290039,4.940000057220459,93.0999984741211
2019-01-24,9.483332633972168,8.120363235473633,4.929999828338623,94.16999816894531
2019-01-28,9.516667366027832,8.268754959106445,4.980000019073486,92.08000183105469
2019-01-29,9.616666793823242,8.384170532226562,4.949999809265137,92.19000244140625
2019-01-30,9.649999618530273,8.51607608795166,4.800000190734863,93.5199966430664
2019-01-31,10.350000381469727,8.77164077758789,4.739999771118164,94.0
2019-02-01,10.183333396911621,8.722175598144531,4.659999847412109,94.36000061035156
2019-02-04,10.324999809265137,8.887057304382324,4.650000095367432,95.02999877929688
2019-02-05,10.333333015441895,8.417147636413574,4.710000038146973,94.80000305175781
2019-02-06,9.824999809265137,8.087387084960938,4.699999809265137,91.2699966430664
2019-02-07,9.883333206176758,8.046167373657227,4.559999942779541,91.0
2019-02-08,9.908332824707031,8.194559097290039,4.53000020980835,91.69999694824219
2019-02-11,9.816666603088379,8.062655448913574,4.519999980926514,90.98999786376953
2019-02-12,10.100000381469727,8.318219184875488,4.539999961853027,92.44999694824219
2019-02-13,9.858332633972168,8.103875160217285,4.53000020980835,92.5999984741211
2019-02-14,10.266667366027832,8.30173110961914,4.519999980926514,94.33999633789062
2019-02-15,10.324999809265137,8.342950820922852,4.639999866485596,94.04000091552734
2019-02-19,10.091667175292969,8.334707260131836,4.679999828338623,93.77999877929688
2019-02-20,9.949999809265137,8.211047172546387,4.710000038146973,93.16999816894531
2019-02-25,9.800000190734863,7.930749893188477,4.739999771118164,93.7699966430664
2019-02-26,9.975000381469727,7.93899393081665,4.75,94.12000274658203
2019-02-27,9.916666984558105,7.930749893188477,4.789999961853027,93.83999633789062
2019-03-06,9.149999618530273,7.510304927825928,4.860000133514404,90.76000213623047
2019-03-08,9.25,7.584500789642334,4.599999904632568,91.8499984741211
2019-03-12,9.758333206176758,7.947237968444824,4.690000057220459,94.4000015258789
2019-03-13,9.858332633972168,8.07089900970459,4.820000171661377,95.30999755859375
2019-03-21,9.350000381469727,7.526793003082275,4.889999866485596,93.01000213623047
2019-03-25,8.908332824707031,7.155811786651611,4.650000095367432,90.3499984741211
2019-03-26,8.975000381469727,7.246496200561523,4.599999904632568,91.91000366210938
2019-03-27,8.5,6.875514984130859,4.670000076293945,88.0999984741211
2019-03-28,8.908332824707031,7.164055824279785,4.610000133514404,91.0199966430664
2019-03-29,9.091667175292969,7.262983798980713,4.630000114440918,91.80999755859375
2019-04-01,9.260000228881836,7.271227836608887,4.800000190734863,92.3499984741211
2019-04-02,9.170000076293945,7.230008125305176,4.78000020980835,91.83000183105469
2019-04-03,9.050000190734863,7.089859962463379,4.849999904632568,91.16000366210938
2019-04-04,9.3100004196167,7.262983798980713,4.900000095367432,92.87000274658203
2019-04-05,9.390000343322754,7.361913204193115,4.909999847412109,93.55999755859375
2019-04-08,9.40999984741211,7.361913204193115,4.929999828338623,93.77999877929688
2019-04-09,9.350000381469727,7.295959949493408,4.880000114440918,92.69999694824219
2019-04-10,9.34000015258789,7.337181091308594,4.909999847412109,92.48999786376953
2019-04-11,9.100000381469727,7.164055824279785,5.010000228881836,91.37999725341797
2019-04-12,8.9399995803833,6.999176025390625,5.090000152587891,89.51000213623047
2019-04-15,8.949999809265137,7.0239081382751465,5.090000152587891,89.80999755859375
2019-04-16,8.859999656677246,6.9744439125061035,5.119999885559082,91.0
2019-04-17,8.6899995803833,6.817807197570801,5.21999979019165,90.0
2019-04-18,8.819999694824219,6.9167351722717285,5.139999866485596,91.16000366210938
2019-04-22,8.869999885559082,6.875514984130859,5.130000114440918,91.19999694824219
2019-04-23,9.079999923706055,6.990931987762451,5.059999942779541,92.37000274658203
2019-04-24,8.880000114440918,6.8672709465026855,4.929999828338623,91.5999984741211
2019-04-25,9.069999694824219,7.007420063018799,4.909999847412109,92.9000015258789
2019-04-26,9.119999885559082,7.081615924835205,4.960000038146973,92.62999725341797
2019-04-29,8.970000267028809,7.03215217590332,5.0,92.72000122070312
2019-04-30,9.0600004196167,7.131080150604248,4.989999771118164,92.87999725341797
2019-05-02,8.979999542236328,7.089859962463379,4.880000114440918,92.08000183105469
2019-05-03,9.130000114440918,7.081615924835205,4.900000095367432,92.5999984741211
2019-05-06,8.819999694824219,6.875514984130859,4.840000152587891,91.61000061035156
2019-05-07,8.75,6.793075084686279,4.690000057220459,90.9800033569336
2019-05-08,9.0,6.900247097015381,4.699999809265137,92.11000061035156
